Date,Sample,Chlorophyll,Nitrogen,Phosphorus,Temperature,Salinity,DO,DA
4/16/18,Day1,4.42,2.9,0.58,15.91,33.55,100.20,4.42
4/17/18,Day2,4.12,8.37,0.91,12.88,33.61,90.35,4.12
4/18/18,Day3,0.63,10.1,1.16,12.63,33.64,84.40,0.63
4/19/18,Day4,4.84,0.61,1.09,12.99,33.64,93.03,4.84
4/20/18,Day5,18.50,2.59,0.53,13.86,33.63,106.24,18.50
4/21/18,Day6,11.93,0.27,0.51,14.58,33.61,112.21,11.93
4/22/18,Day7,7.93,0.34,0.66,15.49,33.59,117.45,7.93
4/23/18,Day8,6.52,0.08,0.45,15.44,33.59,113.09,6.52
4/24/18,Day9,4.29,0.26,0.38,15.68,33.60,109.42,4.29
4/25/18,Day10,5.87,0.34,0.34,15.63,33.63,115.25,5.87
4/26/18,Day11,3.89,0.32,0.34,15.13,33.62,107.54,3.89
4/27/18,Day12,4.29,0.14,1.51,16.17,33.64,109.75,4.29
4/28/18,Day13,3.03,0.33,0.34,15.43,33.64,113.43,3.03
4/29/18,Day14,3.58,0.42,1.08,15.62,33.65,112.09,3.58
4/30/18,Day15,5.20,0.78,1.76,15.90,33.65,104.51,5.20
4/13/19,Day1,2.78,0.8,8.06,13.57,33.62,80.03,NA
4/14/19,Day2,NA,NA,NA,NA,NA,NA,NA
4/15/19,Day3,12.64,0.56,3.64,14.99,33.61,NA,NA
4/16/19,Day4,18.15,0.41,0.37,15.61,33.57,122.43,NA
4/17/19,Day5,7.59,0.38,1.22,14.58,33.62,114.51,NA
4/18/19,Day6,8.34,0.3,0.17,16.01,33.61,118.09,NA
4/19/19,Day7,7.67,0.33,0.19,16.59,33.62,115.81,NA
4/20/19,Day8,11.49,0.33,0.12,15.73,33.61,111.9,NA
4/21/19,Day9,12.51,0.49,0.29,15.79,33.61,108.62,NA
4/22/19,Day10,10.14,0.58,0.87,14.25,33.62,98.5,NA
4/23/19,Day11,8.26,0.44,0.53,15.36,33.63,105.49,NA
4/24/19,Day12,23.93,0.51,0,16.9,33.57,171.42,NA
4/25/19,Day13,23.78,0.31,0,16.37,33.59,142.88,NA
4/26/19,Day14,13.71,0.36,0,16.52,33.57,131.59,NA
4/27/19,Day15,12.35,0.29,0,16.01,33.6,102.52,NA
4/28/19,Day16,38.9,0.66,0.03,16.65,33.59,115.3,NA
4/29/19,Day17,9.28,0.2,-0.2,16.39,33.61,110.47,NA
4/30/19,Day18,64.43,0.16,0.2,16.8,33.63,109.61,NA
5/1/19,Day19,39.25,0.13,0.09,16.22,33.63,106.64,NA
5/2/19,Day20,43.97,0.51,0.08,15.87,33.63,99.86,NA
5/3/19,Day21,31.23,0.41,0.04,16.32,33.62,99.88,NA
5/4/19,Day22,20.08,0.34,0.1,17.24,33.64,107.19,NA
5/5/19,Day23,12.17,0.24,0.11,17.21,33.63,104.85,NA